"date","time","chan 1","unit 1"
"43033","0.3957523148148148","0","NO UNIT"
"43033","0.3957638888888889","0.209","mS"
"43033","0.395775462962963","0.209","mS"
"43033","0.395787037037037","0.209","mS"
"43033","0.3957986111111111","0.209","mS"
"43033","0.3958101851851852","0.208","mS"
"43033","0.3958217592592593","0.208","mS"
"43033","0.3958333333333333","0.208","mS"
"43033","0.3958449074074074","0.209","mS"
"43033","0.3958564814814815","0.209","mS"
"43033","0.3958680555555555","0.209","mS"
"43033","0.3958796296296296","0.209","mS"
"43033","0.3958912037037037","0.209","mS"
"43033","0.3959027777777778","0.208","mS"
"43033","0.3959143518518518","0.208","mS"
"43033","0.395925925925926","0.208","mS"
"43033","0.3959375","0.208","mS"
"43033","0.3959490740740741","0.208","mS"
"43033","0.3959606481481481","0.208","mS"
"43033","0.3959722222222222","0.208","mS"
"43033","0.3959837962962963","0.209","mS"
"43033","0.3959953703703704","0.209","mS"
"43033","0.3960069444444445","0.209","mS"
"43033","0.3960185185185185","0.208","mS"
"43033","0.3960300925925926","0.208","mS"
"43033","0.3960416666666667","0.208","mS"
"43033","0.3960532407407407","0.208","mS"
"43033","0.3960648148148149","0.208","mS"
"43033","0.3960763888888889","0.207","mS"
"43033","0.3960879629629629","0.207","mS"
"43033","0.396099537037037","0.206","mS"
"43033","0.3961111111111111","0.206","mS"
"43033","0.3961226851851852","0.206","mS"
"43033","0.3961342592592592","0.206","mS"
"43033","0.3961458333333334","0.206","mS"
"43033","0.3961574074074074","0.206","mS"
"43033","0.3961689814814815","0.206","mS"
"43033","0.3961805555555555","0.206","mS"
"43033","0.3961921296296296","0.205","mS"
"43033","0.3962037037037037","0.205","mS"
"43033","0.3962152777777778","0.205","mS"
"43033","0.3962268518518519","0.205","mS"
"43033","0.396238425925926","0.205","mS"
"43033","0.39625","0.205","mS"
"43033","0.3962615740740741","0.205","mS"
"43033","0.3962731481481481","0.204","mS"
"43033","0.3962847222222223","0.204","mS"
"43033","0.3962962962962963","0.204","mS"
"43033","0.3963078703703704","0.204","mS"
"43033","0.3963194444444444","0.204","mS"
"43033","0.3963310185185185","0.203","mS"
"43033","0.3963425925925926","0.203","mS"
"43033","0.3963541666666666","0.203","mS"
"43033","0.3963657407407408","0.202","mS"
"43033","0.3963773148148148","0.202","mS"
"43033","0.3963888888888889","0.202","mS"
"43033","0.3964004629629629","0.202","mS"
"43033","0.396412037037037","0.202","mS"
"43033","0.3964236111111111","0.201","mS"
"43033","0.3964351851851852","0.201","mS"
"43033","0.3964467592592593","0.201","mS"
"43033","0.3964583333333334","0.201","mS"
"43033","0.3964699074074074","0.201","mS"
"43033","0.3964814814814815","0.201","mS"
"43033","0.3964930555555555","0.201","mS"
"43033","0.3965046296296297","0.201","mS"
"43033","0.3965162037037037","0.201","mS"
"43033","0.3965277777777778","0.201","mS"
"43033","0.3965393518518519","0.201","mS"
"43033","0.3965509259259259","0.201","mS"
"43033","0.3965625","0.201","mS"
"43033","0.396574074074074","0.201","mS"
"43033","0.3965856481481482","0.201","mS"
"43033","0.3965972222222222","0.201","mS"
"43033","0.3966087962962963","0.201","mS"
"43033","0.3966203703703703","0.201","mS"
"43033","0.3966319444444444","0.201","mS"
"43033","0.3966435185185185","0.201","mS"
"43033","0.3966550925925926","0.2","mS"
"43033","0.3966666666666667","0.2","mS"
"43033","0.3966782407407408","0.2","mS"
"43033","0.3966898148148148","0.2","mS"
"43033","0.3967013888888889","0.2","mS"
"43033","0.3967129629629629","0.2","mS"
"43033","0.3967245370370371","0.2","mS"
"43033","0.3967361111111111","0.2","mS"
"43033","0.3967476851851852","0.2","mS"
"43033","0.3967592592592593","0.2","mS"
"43033","0.3967708333333334","0.199","mS"
"43033","0.3967824074074074","0.199","mS"
"43033","0.3967939814814814","0.199","mS"
"43033","0.3968055555555556","0.199","mS"
"43033","0.3968171296296296","0.199","mS"
"43033","0.3968287037037037","0.199","mS"
"43033","0.3968402777777778","0.199","mS"
"43033","0.3968518518518518","0.199","mS"
"43033","0.3968634259259259","0.199","mS"
"43033","0.396875","0.199","mS"
"43033","0.3968865740740741","0.199","mS"
"43033","0.3968981481481482","0.199","mS"
"43033","0.3969097222222222","0.199","mS"
"43033","0.3969212962962963","0.199","mS"
"43033","0.3969328703703703","0.199","mS"
"43033","0.3969444444444445","0.199","mS"
"43033","0.3969560185185185","0.199","mS"
"43033","0.3969675925925926","0.199","mS"
"43033","0.3969791666666667","0.199","mS"
"43033","0.3969907407407408","0.199","mS"
"43033","0.3970023148148148","0.199","mS"
"43033","0.3970138888888888","0.199","mS"
"43033","0.397025462962963","0.199","mS"
"43033","0.397037037037037","0.199","mS"
"43033","0.3970486111111111","0.198","mS"
"43033","0.3970601851851852","0.198","mS"
"43033","0.3970717592592592","0.198","mS"
"43033","0.3970833333333333","0.199","mS"
"43033","0.3970949074074074","0.199","mS"
"43033","0.3971064814814815","0.199","mS"
"43033","0.3971180555555556","0.199","mS"
"43033","0.3971296296296296","0.199","mS"
"43033","0.3971412037037037","0.199","mS"
"43033","0.3971527777777777","0.199","mS"
"43033","0.3971643518518519","0.198","mS"
"43033","0.3971759259259259","0.198","mS"
"43033","0.3971875","0.199","mS"
"43033","0.3971990740740741","0.199","mS"
"43033","0.3972106481481482","0.199","mS"
"43033","0.3972222222222222","0.198","mS"
"43033","0.3972337962962963","0.198","mS"
"43033","0.3972453703703704","0.198","mS"
"43033","0.3972569444444444","0.198","mS"
"43033","0.3972685185185185","0.198","mS"
"43033","0.3972800925925926","0.198","mS"
"43033","0.3972916666666667","0.198","mS"
"43033","0.3973032407407407","0.199","mS"
"43033","0.3973148148148148","0.199","mS"
"43033","0.3973263888888889","0.198","mS"
"43033","0.397337962962963","0.198","mS"
"43033","0.397349537037037","0.198","mS"
"43033","0.3973611111111111","0.198","mS"
"43033","0.3973726851851851","0.198","mS"
"43033","0.3973842592592593","0.198","mS"
"43033","0.3973958333333333","0.198","mS"
"43033","0.3974074074074074","0.198","mS"
"43033","0.3974189814814815","0.197","mS"
"43033","0.3974305555555556","0.197","mS"
"43033","0.3974421296296296","0.197","mS"
"43033","0.3974537037037038","0.197","mS"
"43033","0.3974652777777778","0.197","mS"
"43033","0.3974768518518519","0.197","mS"
"43033","0.3974884259259259","0.197","mS"
"43033","0.3975","0.197","mS"
"43033","0.3975115740740741","0.197","mS"
"43033","0.3975231481481481","0.197","mS"
"43033","0.3975347222222222","0.197","mS"
"43033","0.3975462962962963","0.197","mS"
"43033","0.3975578703703704","0.197","mS"
"43033","0.3975694444444444","0.197","mS"
"43033","0.3975810185185185","0.197","mS"
"43033","0.3975925925925926","0.197","mS"
"43033","0.3976041666666667","0.197","mS"
"43033","0.3976157407407407","0.199","mS"
"43033","0.3976273148148148","0.199","mS"
"43033","0.3976388888888889","0.199","mS"
"43033","0.397650462962963","0.204","mS"
"43033","0.397662037037037","0.204","mS"
"43033","0.3976736111111112","0.218","mS"
"43033","0.3976851851851852","0.218","mS"
"43033","0.3976967592592593","0.218","mS"
"43033","0.3977083333333333","0.257","mS"
"43033","0.3977199074074074","0.257","mS"
"43033","0.3977314814814815","0.323","mS"
"43033","0.3977430555555555","0.323","mS"
"43033","0.3977546296296297","0.323","mS"
"43033","0.3977662037037037","0.355","mS"
"43033","0.3977777777777778","0.355","mS"
"43033","0.3977893518518518","0.369","mS"
"43033","0.3978009259259259","0.369","mS"
"43033","0.3978125","0.369","mS"
"43033","0.3978240740740741","0.381","mS"
"43033","0.3978356481481481","0.381","mS"
"43033","0.3978472222222222","0.391","mS"
"43033","0.3978587962962963","0.391","mS"
"43033","0.3978703703703704","0.391","mS"
